Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,CV Accuracy,Best Parameters
Logistic Regression,0.7775665399239544,0.786669017539556,0.7775665399239544,0.7778330479172816,0.9056303723758423,0.7786788824793576,{'lr__C': 10}
Random Forest,0.811787072243346,0.8466414705975313,0.811787072243346,0.816516389446951,0.9227711352542128,0.802000904875014,"{'rf__max_depth': 10, 'rf__n_estimators': 100}"
Support Vector Machine,0.7813688212927756,0.7876074553865305,0.7813688212927756,0.781381526113894,0.9047721331213775,0.7739226331862911,"{'svc__C': 1, 'svc__kernel': 'linear'}"
